
English,Chinese Meanings,pos,word_with_pos,check_status,suggested_zh,notes
computer games,電腦遊戲,phr.,computer games (phr.),OK,,
conceal,隱藏；隱瞞複雜的複合物；綜合體,adj.,conceal (adj.),OK,,
conceive,想像；設想,adj.,conceive (adj.),OK,,
concentrate,集中；聚,v.,concentrate (v.),OK,,
concept,概念；概念；觀念,n.,concept (n.),OK,,
concern,擔心；關切；關心；關於；涉及集；全神貫注,n.,concern (n.),OK,,
concerning,關於,v.,concerning (v.),OK,,
conclude,結束；推斷出,n.,conclude (n.),OK,,
conclusion,結論,n.,conclusion (n.),OK,,
concrete,有形的；實在,adj.,concrete (adj.),OK,,
concur,同意；一致,n.,concur (n.),OK,,
condition,情況；狀況；條件；狀況；狀態,n.,condition (n.),OK,,
conduct,帶領；實施,n.,conduct (n.),OK,,
conference,會議,n.,conference (n.),OK,,
conference room,會議室,phr.,conference room (phr.),OK,,
confident,有信心的,adj.,confident (adj.),OK,,
confirmation,確認；證實；證明,n.,confirmation (n.),OK,,
confuse,使困惑；混淆,n.,confuse (n.),OK,,
confusion,混亂；騷動,n.,confusion (n.),OK,,
connecting,連接,v.,connecting (v.),OK,,
conscious,神志清醒,adj.,conscious (adj.),OK,,
consciously,有意識意識,adv.,consciously (adv.),OK,,
consciousness,意念；,n.,consciousness (n.),OK,,
consecutive,連續不斷的；連貫的,adj.,consecutive (adj.),OK,,
consequence,結果,n.,consequence (n.),OK,,
consequently,所以；結果；因此；必然地設,adv.,consequently (adv.),OK,,
conservative,保守的；守舊的保守者；守舊者的混凝土凝結；固結,adj.,conservative (adj.),OK,,
conserve,保存；保護,n.,conserve (n.),OK,,
consider,考慮；考慮；細想,n.,consider (n.),OK,,
considerably,相當,adv.,considerably (adv.),OK,,
consideration,體貼；,n.,consideration (n.),OK,,
considering,就……的；有知覺的地；自覺地,adv.,considering (adv.),OK,,
consist,由…組成；組成；構成,n.,consist (n.),OK,,
consistency,一致；一貫,n.,consistency (n.),OK,,
consistent,始終如一的；前後一致的,adj.,consistent (adj.),OK,,
consistently,一貫地；固守地,adv.,consistently (adv.),OK,,
constant,固定的；不變的,adj.,constant (adj.),OK,,
constrain,強迫；迫使,n.,constrain (n.),OK,,
constraint,約束；限制,n.,constraint (n.),OK,,
construct,構造,n.,construct (n.),OK,,
construction,建造；建；結構,n.,construction (n.),OK,,
constructive,建設性的,adj.,constructive (adj.),OK,,
consult,參考,n.,consult (n.),OK,,
consultancy,諮詢公司；顧問公司,n.,consultancy (n.),OK,,
consultant,顧問；顧問；諮詢者,n.,consultant (n.),OK,,
consume,消耗；花費,n.,consume (n.),OK,,
consumer,消費者,n.,consumer (n.),OK,,
consumption,消費,n.,consumption (n.),OK,,
contact,接觸；交往；,n.,contact (n.),OK,,
contain,包含；容納,n.,contain (n.),OK,,
container,容器,n.,container (n.),OK,,
contemporary,當代的；,adj.,contemporary (adj.),OK,,
content,內容；內容物；滿足滿足的；滿意的滿足,adj.,content (adj.),OK,,
contest,比賽；競爭；角逐比賽,n.,contest (n.),OK,,
context,來龍去脈；背,n.,context (n.),OK,,
continue,延續；繼續；持續,n.,continue (n.),OK,,
continuity,連續性；持,n.,continuity (n.),OK,,
continuous,連續的；寫；副本,adj.,continuous (adj.),OK,,
contract,合約；合約締結；,n.,contract (n.),OK,,
contractor,立契約者；承包人,n.,contractor (n.),OK,,
contrary,相反的；對立的相反地；反對地,adj.,contrary (adj.),OK,,
contribution,貢獻,n.,contribution (n.),OK,,
control,控制；支配,n.,control (n.),OK,,
controlling,管理的；控制的,adj.,controlling (adj.),OK,,
convenient,便利的：方便的；便利的；合宜的；方便,adj.,convenient (adj.),OK,,
convention,會議；大會；集合,n.,convention (n.),OK,,
conventional,習慣的；慣例的,adj.,conventional (adj.),OK,,
conversation,會話；會話；對話景,n.,conversation (n.),OK,,
converse,交談,n.,converse (n.),OK,,
convey,告知；傳達,n.,convey (n.),OK,,
conviction,定罪；確信,n.,conviction (n.),OK,,
convince,說服,n.,convince (n.),OK,,
convincingly,令人信服地,adv.,convincingly (adv.),OK,,
cooperation,協助；配合；合作；協續性,n.,cooperation (n.),OK,,
coordinate,協調；調節,v.,coordinate (v.),OK,,
cope,應付；處理,n.,cope (n.),OK,,
copy,抄寫；複製抄承包,n.,copy (n.),OK,,
copy machine,影印機,phr.,copy machine (phr.),OK,,
corded,有線,v.,corded (v.),OK,,
cordially,熱誠地；誠摯地,adv.,cordially (adv.),OK,,
corn,玉米,n.,corn (n.),OK,,
corner,角落,n.,corner (n.),OK,,
corporate,全體的；共,adj.,corporate (adj.),OK,,
correct,正確無誤的；正確的；對的,adj.,correct (adj.),OK,,
correspond,符合,n.,correspond (n.),OK,,
corrupt,腐敗的，貪汙,n.,corrupt (n.),OK,,
corruption,墮落；腐化,n.,corruption (n.),OK,,
cost,成本；花費；付出費,v.,cost (v.),OK,,
costume,服裝,n.,costume (n.),OK,,
cottage,茅屋,n.,cottage (n.),OK,,
cotton,棉布；棉花,n.,cotton (n.),OK,,
council,會議；議事,n.,council (n.),OK,,
counsel,商議；審議,n.,counsel (n.),OK,,
count on,指望,phr.,count on (phr.),OK,,
counter,反方向地，相反地相反的反對；反擊,n.,counter (n.),OK,,
country,國家；鄉村,n.,country (n.),OK,,
couple,情侶；夫妻,n.,couple (n.),OK,,
coupon,贈券；減價優待券,n.,coupon (n.),OK,,
courageous,勇敢,adj.,courageous (adj.),OK,,
courier,信差；導遊；情報員,n.,courier (n.),OK,,
course,課程；路線；路線；方向；課程；系列的,adj.,course (adj.),OK,,
court,法庭；法院,n.,court (n.),OK,,
courteously,有禮貌,adv.,courteously (adv.),OK,,
courtesy,禮貌；殷勤,n.,courtesy (n.),OK,,
cover,遮蓋；覆蓋遮的；遮蔽,adj.,cover (adj.),OK,,
cozy,舒適,n.,cozy (n.),OK,,
crack,裂縫；裂痕裂開；爆裂,n.,crack (n.),OK,,
craft,工藝，手藝精巧地製作,n.,craft (n.),OK,,
crafted,製作的；工藝,adj.,crafted (adj.),OK,,
crane,鶴伸著脖子看,n.,crane (n.),OK,,
crash,碰撞；倒下墜毀，迫降,n.,crash (n.),OK,,
crazy,瘋狂的,adj.,crazy (adj.),OK,,
create,創造；創造；製作,v.,create (v.),OK,,
creation,作品；製作物；創作,n.,creation (n.),OK,,
creative,創作者；有創意的：創新的,adj.,creative (adj.),OK,,
creativity,創意；創造；創造力,n.,creativity (n.),OK,,
creature,生物；生物；動物,n.,creature (n.),OK,,
credential,憑據；證書,adj.,credential (adj.),OK,,
credible,可信的；可靠,adj.,credible (adj.),OK,,
credit,信用；賒帳；信譽；功勞相信；把……歸於,n.,credit (n.),OK,,
credit card,信用卡,phr.,credit card (phr.),OK,,
creditor,債權人；貸方,n.,creditor (n.),OK,,
crew,工作人員；船員；船員,n.,crew (n.),OK,,
crime,犯罪；罪刑,n.,crime (n.),OK,,
criminal,罪犯犯罪的；犯法的,adj.,criminal (adj.),OK,,
crisis,困難；危及,n.,crisis (n.),OK,,
crisp,酥脆,n.,crisp (n.),OK,,
criterion,標準；準則,n.,criterion (n.),OK,,
critic,評論家,adj.,critic (adj.),OK,,
critical,批判的；評論的,adj.,critical (adj.),OK,,
criticism,批評,n.,criticism (n.),OK,,
criticize,批判；評論,v.,criticize (v.),OK,,
crop,作物：莊稼播種,n.,crop (n.),OK,,
cross,橫穿；渡過十化,n.,cross (n.),OK,,
crowd,群眾；觀眾；群組,n.,crowd (n.),OK,,
crowded,擁擠的；滿的,adj.,crowded (adj.),OK,,
crucial,重要的；嚴酷的,adj.,crucial (adj.),OK,,
cruise,巡航；航遊巡,v.,cruise (v.),OK,,
ction,小說；虛構,n.,ction (n.),OK,,
cucumber,黃瓜,n.,cucumber (n.),OK,,
cuisine,美食,n.,cuisine (n.),OK,,
cult,困難的；艱難的,adj.,cult (adj.),OK,,
cultivate,培植,v.,cultivate (v.),OK,,
cultural,文化上的,adj.,cultural (adj.),OK,,
culty,困難；困境,n.,culty (n.),OK,,
cup of tea,一杯茶,phr.,cup of tea (phr.),OK,,
cupboard,食櫥；碗櫃,n.,cupboard (n.),OK,,
cure,治療；痊癒治,n.,cure (n.),OK,,
curious,好奇的,adj.,curious (adj.),OK,,
currency,通貨；貨幣,n.,currency (n.),OK,,
current,現時的；當前的流動；水流,adj.,current (adj.),OK,,
curve,彎曲,n.,curve (n.),OK,,
cushion,墊子；坐墊,n.,cushion (n.),OK,,
custom,習俗；慣例訂做的；訂製的,adj.,custom (adj.),OK,,
customer,顧客；顧客；買主,n.,customer (n.),OK,,
customize,訂做；客製,v.,customize (v.),OK,,
custommade,訂製,n.,custommade (n.),OK,,
customs,關稅；海關,n.,customs (n.),OK,,
cut,切；割,v.,cut (v.),OK,,
cutback,減少；剪修新芽,n.,cutback (n.),OK,,
cycle,週期；循環循環；輪轉字形；十字架,n.,cycle (n.),OK,,
daily,每日；每日的；日常的,adj.,daily (adj.),OK,,
damage,損害；損害；損失,n.,damage (n.),OK,,
dancer,舞蹈家,n.,dancer (n.),OK,,
danger,危急；危險菜餚,n.,danger (n.),OK,,
dangerous,危險的,adj.,dangerous (adj.),OK,,
dare,敢；竟敢敢；；果敢,n.,dare (n.),OK,,
daring,大膽的；勇敢的,adj.,daring (adj.),OK,,
darling,心肝,v.,darling (v.),OK,,
dash,衝撞,n.,dash (n.),OK,,
data,資料；資料；數據,n.,data (n.),OK,,
database,資料庫,n.,database (n.),OK,,
date,日期；日子註,v.,date (v.),OK,,
dawn,黎明，拂曉破,n.,dawn (n.),OK,,
day,一天；日；白天,n.,day (n.),OK,,
daylight,日光；白晝,n.,daylight (n.),OK,,
daytime,白天；白晝,n.,daytime (n.),OK,,
dazzle,使目眩；使眼花耀眼；燦爛,n.,dazzle (n.),OK,,
deadline,截止期限；最後限期；期限,n.,deadline (n.),OK,,
deal,合約；經營；交易交；處理,adj.,deal (adj.),OK,,
dealer,業者；商人,n.,dealer (n.),OK,,
dealing,行為；商業往,v.,dealing (v.),OK,,
dean,教務長；學院院長,n.,dean (n.),OK,,
dear,親愛的；摯愛的,adj.,dear (adj.),OK,,
debatable,可爭辯的；可爭論的,adj.,debatable (adj.),OK,,
debate,討論；辯論；辯論；爭論儀的等）；解釋（古代文字等）,v.,debate (v.),OK,,
debit,借方把……記入借方,n.,debit (n.),OK,,
debt,債務；借款,n.,debt (n.),OK,,
debut,首次露面；初次速度,n.,debut (n.),OK,,
decade,十年；十；十年,n.,decade (n.),OK,,
decease,亡故死亡,n.,decease (n.),OK,,
deceit,欺騙；欺詐,n.,deceit (n.),OK,,
deceitful,騙人的；欺詐,adj.,deceitful (adj.),OK,,
deceive,欺騙；蒙蔽,adj.,deceive (adj.),OK,,
decelerate,減緩；降低,v.,decelerate (v.),OK,,
deceleration,減速,n.,deceleration (n.),OK,,
decent,正派的；合乎禮,adj.,decent (adj.),OK,,
decide,決定；決定；決意,n.,decide (n.),OK,,
decipher,破解（密碼,n.,decipher (n.),OK,,
decision,決定；抉擇；決心；判斷,n.,decision (n.),OK,,
decisive,決定性的；決定的,adj.,decisive (adj.),OK,,
deck,艙面；甲板,n.,deck (n.),OK,,
declaration,宣告；宣言辯論,n.,declaration (n.),OK,,
declare,宣告；聲明,n.,declare (n.),OK,,
decline,下降；下跌下降；減少,n.,decline (n.),OK,,
decode,譯解（密碼）,n.,decode (n.),OK,,
decorate,裝飾,v.,decorate (v.),OK,,
decrease,減；減少,n.,decrease (n.),OK,,
dedicate,奉獻；獻身,v.,dedicate (v.),OK,,
dedication,奉獻；供奉,n.,dedication (n.),OK,,
deduce,演繹；推論,n.,deduce (n.),OK,,
deduct,扣除；減除,n.,deduct (n.),OK,,
deduction,扣除；減除,n.,deduction (n.),OK,,
deem,認為；以為,n.,deem (n.),OK,,
deep,深的深深地深處,n.,deep (n.),OK,,
deepen,使變深；使加深；使強烈,v.,deepen (v.),OK,,
default,違約；拖欠；預,n.,default (n.),OK,,
defeat,戰勝；擊敗,n.,defeat (n.),OK,,
defect,缺點；缺陷逃跑；脫離,n.,defect (n.),OK,,
defend,防衛；保護,n.,defend (n.),OK,,
defense,防衛；保護,n.,defense (n.),OK,,
defensive,防衛的；保的；纖弱的,adj.,defensive (adj.),OK,,
define,確定,n.,define (n.),OK,,
definition,定義,n.,definition (n.),OK,,
defy,公然反抗；蔑視,n.,defy (n.),OK,,
degree,度數；程度；度，度數；程,n.,degree (n.),OK,,
delay,延遲；拖延；耽擱延遲；耽擱,n.,delay (n.),OK,,
delegate,代表；授權；委派……為代表；委派（某人）做,v.,delegate (v.),OK,,
deliberate,深思熟慮的；慎重的仔細考慮；思考,adj.,deliberate (adj.),OK,,
deliberately,慎重地；謹慎地設不履行；拖欠,adv.,deliberately (adv.),OK,,
delicate,易碎的；嬌貴戰敗；挫折,adj.,delicate (adj.),OK,,
delicious,美味的；美味的；香噴噴的,adj.,delicious (adj.),OK,,
delight,欣喜；愉快高興；喜愛,n.,delight (n.),OK,,
deliver,投遞；傳送衛的；送往某處,adj.,deliver (adj.),OK,,
delivery,投遞；傳送；輸送,n.,delivery (n.),OK,,
delusion,迷惑；欺騙,n.,delusion (n.),OK,,
demand,要求，請求deﬂ；需求,n.,demand (n.),Possible error,要求，請求ﬂ；需求,English letters present in Chinese meaning
demise,死亡；終止轉讓；遺贈,v.,demise (v.),OK,,
demographics,人口統,n.,demographics (n.),OK,,
demolish,毀壞；破壞,adj.,demolish (adj.),OK,,
demonstrate,論證；證,v.,demonstrate (v.),OK,,
demonstration,示範；論證；,n.,demonstration (n.),OK,,
denial,否認；否定,adj.,denial (adj.),OK,,
dense,密集的，稠密的,adj.,dense (adj.),OK,,
density,密集度；稠密度,n.,density (n.),OK,,
dent,有自信的；確信的,adj.,dent (adj.),OK,,
dential,祕密的；機密的,adj.,dential (adj.),OK,,
dentist,牙醫,n.,dentist (n.),OK,,
deny,否定，否認,n.,deny (n.),OK,,
depart,起程，出發,n.,depart (n.),OK,,
department,科系；部門；部；司；局；,n.,department (n.),OK,,
departmental,部門的；,adj.,departmental (adj.),OK,,
departure,啟程；離開；出發,n.,departure (n.),OK,,
depend,相信；信賴賴；看情況；依賴,n.,depend (n.),OK,,
dependable,可信的,adj.,dependable (adj.),OK,,
dependency,依靠；信,n.,dependency (n.),OK,,
dependent,依賴的；依靠的；依,adj.,dependent (adj.),OK,,
depict,描述；描寫,n.,depict (n.),OK,,
deposit,定金；頭期款；放置；寄存,n.,deposit (n.),OK,,
depressing,沉悶,v.,depressing (v.),OK,,
depression,沮喪；意,n.,depression (n.),OK,,
describe,描繪；敘述,n.,describe (n.),OK,,
description,敘述；形；敘述；形容,n.,description (n.),OK,,
deserve,應受；該得；應得,n.,deserve (n.),OK,,
design,設計；設計構思；繪製,n.,design (n.),OK,,
designer,設計師,n.,designer (n.),OK,,
desire,渴望,n.,desire (n.),OK,,
despite,不管；儘管；儘管,n.,despite (n.),OK,,
dessert,甜點,n.,dessert (n.),OK,,
destination,目的地；終點,adv.,destination (adv.),OK,,
destroy,毀壞；破壞壞處；科,n.,destroy (n.),OK,,
destruction,毀壞；破,n.,destruction (n.),OK,,
detail,細節；細節；詳情詳述；詳細說明分部的,adj.,detail (adj.),OK,,
detailed,詳細的；精細的,adj.,detailed (adj.),OK,,
detect,探測；察覺,n.,detect (n.),OK,,
determine,決定；下決心賴的；確定,adj.,determine (adj.),OK,,
develop,開發：發展,n.,develop (n.),OK,,
developed,發達,v.,developed (v.),OK,,
developer,開發者,n.,developer (n.),OK,,
development,發育；進化；發存款展,n.,development (n.),OK,,
device,設備；設備；機器,n.,device (n.),OK,,
devise n,設計；發明,phr.,devise n (phr.),OK,,
devote,致力,n.,devote (n.),OK,,
dial,撥打；撥,adj.,dial (adj.),OK,,
diary,日記；日誌,n.,diary (n.),OK,,
dictate,口授；口述,v.,dictate (v.),OK,,
diet,飲食；食物節食,n.,diet (n.),OK,,
dietician,營養學家,n.,dietician (n.),OK,,
difference,差別；差異；差異,n.,difference (n.),OK,,
different,不同的；有差異的,adj.,different (adj.),OK,,
difficult,困難的,adj.,difficult (adj.),OK,,
digital,數位的；數字,adj.,digital (adj.),OK,,
dignity,尊嚴；自尊,n.,dignity (n.),OK,,
diligence,勤勉,n.,diligence (n.),OK,,
diligent,勤勉的，勤奮的,adj.,diligent (adj.),OK,,
dinner,晚餐,n.,dinner (n.),OK,,
direct,指向；針對徑扣；直接的,adj.,direct (adj.),OK,,
direction,方向,n.,direction (n.),OK,,
directly,直接地；筆直,adv.,directly (adv.),OK,,
director,導演；導演；主管；,n.,director (n.),OK,,
directory,工商名錄；號,n.,directory (n.),OK,,
disadvantaged,劣勢,v.,disadvantaged (v.),OK,,
disagree,不一致；不符,n.,disagree (n.),OK,,
disappear,消失；離開,n.,disappear (n.),OK,,
disappointment,失望,n.,disappointment (n.),OK,,
disaster,災難,n.,disaster (n.),OK,,
discard,拋棄；摒棄,n.,discard (n.),OK,,
discern,分辨；識別,n.,discern (n.),OK,,
discipline,紀律；風紀,n.,discipline (n.),OK,,
disclaimer,放棄；拒絕,n.,disclaimer (n.),OK,,
disconnected,斷開的,adj.,disconnected (adj.),OK,,
discount,折扣；折扣打折,n.,discount (n.),OK,,
discourage,使洩氣；；阻礙,n.,discourage (n.),OK,,
discouraged,灰心的；沮喪的,adj.,discouraged (adj.),OK,,
discouragement,沮,n.,discouragement (n.),OK,,
discover,發現；探索,n.,discover (n.),OK,,
discuss,商討；闡述；討論；交流,n.,discuss (n.),OK,,
discussion,討論；交流；談論,n.,discussion (n.),OK,,
disease,病，疾病使生病；使不健全直的；筆直的,adj.,disease (adj.),OK,,
disembark,登陸；上岸,n.,disembark (n.),OK,,
disguise,偽裝,v.,disguise (v.),OK,,
disk,唱片,n.,disk (n.),OK,,
dismal,憂鬱的；沉悶的,adj.,dismal (adj.),OK,,
dismiss,讓…離開；把…打發走署長,n.,dismiss (n.),OK,,
dispense,分配，分發免除；省掉,n.,dispense (n.),OK,,
display,展示；陳列；陳列；展出展覽；陳列,n.,display (n.),OK,,
disposal,處理；處置,adj.,disposal (adj.),OK,,
dispose,配置，布置,n.,dispose (n.),OK,,
dispute,爭論；爭執；爭議,n.,dispute (n.),OK,,
disrupt,使分裂；使瓦解,n.,disrupt (n.),OK,,
dissatisfaction,不滿,n.,dissatisfaction (n.),OK,,
dissipate,使消散；消,v.,dissipate (v.),OK,,
distance,距離,n.,distance (n.),OK,,
distant,遙遠,n.,distant (n.),OK,,
distinctive,有特色的；；獨特的,adj.,distinctive (adj.),OK,,
distinguish,區別；識別,adj.,distinguish (adj.),OK,,
distinguished,傑出的,adj.,distinguished (adj.),OK,,
distract,轉移；分散,n.,distract (n.),OK,,
distraction,娛樂,n.,distraction (n.),OK,,
distribute,分配,n.,distribute (n.),OK,,
distributor,分配者；批,n.,distributor (n.),OK,,
disturb,打擾,n.,disturb (n.),OK,,
diverse,不同的；多元點；加點,adj.,diverse (adj.),OK,,
diversity,差異；不同點,n.,diversity (n.),OK,,
divert,轉向；轉移,n.,divert (n.),OK,,
divide,分；劃分分歧；1017.,n.,divide (n.),OK,,
division,分開；分割,n.,division (n.),OK,,
doctor,醫師；醫生下降的向下；日趨沒落地,adv.,doctor (adv.),OK,,
document,公文；文件；文件,n.,document (n.),OK,,
documentation,文件；憑證,n.,documentation (n.),OK,,
domestic,國內；家庭的；國內的爭論；爭執,adj.,domestic (adj.),OK,,
dominate,支配；統治,v.,dominate (v.),OK,,
donate,捐獻；捐款破裂的；中斷的,adj.,donate (adj.),OK,,
donation,捐獻；捐款,n.,donation (n.),OK,,
dot,點，小圓點打,n.,dot (n.),OK,,
dotted,有點子的；星羅棋布的鬧區的,adj.,dotted (adj.),OK,,
doubt,懷疑；揣測,n.,doubt (n.),OK,,
download,下載,n.,download (n.),OK,,
downsize,裁減,v.,downsize (v.),OK,,
downsizing,縮減開支,v.,downsizing (v.),OK,,
downtown,商業區，,n.,downtown (n.),OK,,
downward,向下的；,adj.,downward (adj.),OK,,
doze,瞌睡,n.,doze (n.),OK,,
draft,草稿；手稿,n.,draft (n.),OK,,
drain,排洩,n.,drain (n.),OK,,
drama,戲劇；劇本不和,n.,drama (n.),OK,,
dramatically,顯著地,adv.,dramatically (adv.),OK,,
drastic,激烈的；猛烈的,adj.,drastic (adj.),OK,,
drastically,大大地；徹底地,adv.,drastically (adv.),OK,,
draw,繪畫；繪製；描寫；拉平局；抽籤E,v.,draw (v.),Possible error,繪畫；繪製；描寫；拉平局；抽籤,English letters present in Chinese meaning
drawer,抽屜,n.,drawer (n.),OK,,
dreadful,可怕,adj.,dreadful (adj.),OK,,
dress,洋裝；穿著,n.,dress (n.),OK,,
dress code,穿衣法則；,phr.,dress code (phr.),OK,,
drift,漂流；漂；漂移,n.,drift (n.),OK,,
drink,飲用,v.,drink (v.),OK,,
drive,駕駛；駕駛；開車,v.,drive (v.),OK,,
drug,藥物；藥,n.,drug (n.),OK,,
due,應支付的；到期的應付款；稅金；預定,adj.,due (adj.),OK,,
duplicate,複製品；副適；悠閒；贗品,v.,duplicate (v.),OK,,
durable,經久的，耐用,adj.,durable (adj.),OK,,
duration,持久；持續,n.,duration (n.),OK,,
during,在…的整個；在～期間,v.,during (v.),OK,,
duty,義務；責任；職務；勤務,n.,duty (n.),OK,,
dynamic,動力的；充；動態,adj.,dynamic (adj.),OK,,
e,使受挫折；阻撓困惑；障礙,n.,e (n.),OK,,
eTicket,電子票券,n.,eTicket (n.),OK,,
each,各個；每個各；每,n.,each (n.),OK,,
eager,急切；熱心的；熱切的,adj.,eager (adj.),OK,,
early,初期的；及早,adj.,early (adj.),OK,,
earn,掙得；博得著裝標準；掙錢,n.,earn (n.),OK,,
earnest,認真,n.,earnest (n.),OK,,
earnings,收入；薪資,n.,earnings (n.),OK,,
ease,減輕，緩和舒；緩解,n.,ease (n.),OK,,
east,東方；東,n.,east (n.),OK,,
easy,容易的；簡單的；輕易的,adj.,easy (adj.),OK,,
eat,進食,v.,eat (v.),OK,,
eco-friendly,對環境友善的,phr.,eco-friendly (phr.),OK,,
economical,經濟的；本完全一樣的；複製的,adj.,economical (adj.),OK,,
economize,節約；節的,adj.,economize (adj.),OK,,
economy,節約；經濟廉價的；經濟的期間,adj.,economy (adj.),OK,,
ect,使偏斜；使轉向；反射；照出,n.,ect (n.),OK,,
ection,倒影；反省,n.,ection (n.),OK,,
ed,未辨別出,v.,ed (v.),OK,,
edge,稜；邊緣使漸進；徐徐地移動期間滿活力的；邊緣,adj.,edge (adj.),OK,,
edible,食用,adj.,edible (adj.),OK,,
edit,編輯；校訂,n.,edit (n.),OK,,
edition,版本,n.,edition (n.),OK,,
editor,編輯,n.,editor (n.),OK,,
editorial,社論編輯,adj.,editorial (adj.),OK,,
education,教育,n.,education (n.),OK,,
effect,效果；造成；產生效,n.,effect (n.),OK,,
effective,有效的；有效的；生,adj.,effective (adj.),OK,,
effectively,有效地,adv.,effectively (adv.),OK,,
efficiently,有效率地,adv.,efficiently (adv.),OK,,
effort,功夫；努力；盡力,n.,effort (n.),OK,,
either,任一的（兩者之中）任何一個,n.,either (n.),OK,,
either ... or ...,或者,phr.,either ... or ... (phr.),OK,,
eject,逐出；轟出,n.,eject (n.),OK,,
elaborate,精心製作；詳盡闡述,v.,elaborate (v.),OK,,
eld,原野；田地,adv.,eld (adv.),OK,,
elder,年長的,adj.,elder (adj.),OK,,
elect,選舉；推選,n.,elect (n.),OK,,
election,選舉；推選,n.,election (n.),OK,,
electric,電的；導電的,adj.,electric (adj.),OK,,
electrical,電力的,adj.,electrical (adj.),OK,,
electrician,零工；電工；電氣,n.,electrician (n.),OK,,
electricity,電力,n.,electricity (n.),OK,,
electronic,電子的；電子操縱的,adj.,electronic (adj.),OK,,
elegance,優雅,n.,elegance (n.),OK,,
elegant,優雅的,adj.,elegant (adj.),OK,,
element,元素；元素；構成往別處況；突然事件,n.,element (n.),OK,,
elemental,基本的；原,adj.,elemental (adj.),OK,,
elementary,初級；基本的；初級的的；法律上合格的,adj.,elementary (adj.),OK,,
elevate,舉起；抬起,v.,elevate (v.),OK,,
elevation,提高；提升,n.,elevation (n.),OK,,
elevator,電梯,n.,elevator (n.),OK,,
eligible,有資格當選果；效力,adj.,eligible (adj.),OK,,
eliminate,排除；消滅,v.,eliminate (v.),OK,,
elimination,排除；消滅,n.,elimination (n.),OK,,
elite,精華；菁英,n.,elite (n.),OK,,
else,其他；另外,n.,else (n.),OK,,
elsewhere,在別處；,n.,elsewhere (n.),OK,,
email,電子郵件,n.,email (n.),OK,,
embark,從事；著手,n.,embark (n.),OK,,
embrace,擁抱；包括,n.,embrace (n.),OK,,
emerge,出現；浮現；出現,n.,emerge (n.),OK,,
emergency,緊急；緊急情技師,n.,emergency (n.),OK,,
emerging,新興的,adj.,emerging (adj.),OK,,
emit,散發；放射,n.,emit (n.),OK,,
emotion,情感；情緒,n.,emotion (n.),OK,,
emotional,情緒化的,adj.,emotional (adj.),OK,,
empathy,同感,n.,empathy (n.),OK,,
emphasis,強調；重視,n.,emphasis (n.),OK,,
emphasize,強調；著重；強調；重,v.,emphasize (v.),OK,,
employ,僱用；使用；雇用,n.,employ (n.),OK,,
employee,受雇者；員工,n.,employee (n.),OK,,
employer,雇主,n.,employer (n.),OK,,
employment,僱用；,n.,employment (n.),OK,,
empty,空的,adj.,empty (adj.),OK,,
emulate,同…競爭；盡,v.,emulate (v.),OK,,
enable,使能夠；賦予…能力；啟用,adj.,enable (adj.),OK,,
enclose,圍住；圈起；隨信附上,n.,enclose (n.),OK,,
enclosure,圍住；封入,n.,enclosure (n.),OK,,
encounter,遭遇；遭遇；衝突遭遇；遇到,n.,encounter (n.),OK,,
encourage,鼓勵；鼓勵；鼓婚約擴展,n.,encourage (n.),OK,,
encouragement,鼓,n.,encouragement (n.),OK,,
endanger,危及；使遭,n.,endanger (n.),OK,,
endeavor,努力；力圖贊同,n.,endeavor (n.),OK,,
endorsement,背書；,n.,endorsement (n.),OK,,
endure,忍耐；忍受表演者,n.,endure (n.),OK,,
energetic,有活力的；精力旺盛的；-精神飽滿的,adj.,energetic (adj.),OK,,
energy,力量；能源；活力；幹勁,n.,energy (n.),OK,,
enforce,實施；執行,n.,enforce (n.),OK,,
enforcement,強制,n.,enforcement (n.),OK,,
engage,吸引；佔用,n.,engage (n.),OK,,
engaged,訂婚,v.,engaged (v.),OK,,
engagement,訂婚；,n.,engagement (n.),OK,,
engine,引擎,n.,engine (n.),OK,,
engineer,工程師,n.,engineer (n.),OK,,
enhance,提高；升高,n.,enhance (n.),OK,,
enjoy,喜歡；享受,n.,enjoy (n.),OK,,
enjoyable,和藹可親的,adj.,enjoyable (adj.),OK,,
enlarge,擴大；擴展,n.,enlarge (n.),OK,,
enlargement,擴大；,n.,enlargement (n.),OK,,
enlist,從軍；入伍,n.,enlist (n.),OK,,
enormous,巨大,adj.,enormous (adj.),OK,,
enrich,使富裕；使豐富舞,n.,enrich (n.),OK,,
enrichment,致富；豐富勵；鼓舞,n.,enrichment (n.),OK,,
enroll,招生；註冊；記入名冊；被登記到危險,n.,enroll (n.),OK,,
ensure,保證；擔保努力；盡力；確保,n.,ensure (n.),OK,,
enterprise,企業；公司,v.,enterprise (v.),OK,,
entertain,娛樂；款待；招待,n.,entertain (n.),OK,,
entertainer,藝人；請客者；,n.,entertainer (n.),OK,,
entertainment,娛樂；演藝；,n.,entertainment (n.),OK,,
enthusiasm,熱忱,n.,enthusiasm (n.),OK,,
enthusiastic,熱忱的；,adj.,enthusiastic (adj.),OK,,
entire,全部的,adj.,entire (adj.),OK,,
entirel,全部地；整個,adv.,entirel (adv.),OK,,
entitle,權利；給…權力（或資,n.,entitle (n.),OK,,
entitled,給予權利；使,v.,entitled (v.),OK,,
