English,Chinese Meanings,pos,word_with_pos,check_status,suggested_zh,notes,ecdict_zh,ecdict_pos
develop,開發：發展,n.,develop (n.),OK,,,"vt. 发展, 使发达, 进步, 洗印, 显影\nvi. 发展, 生长",
developed,發達,v.,developed (v.),OK,,,a. 发达的（国家或地区）；成熟的,
developer,開發者,n.,developer (n.),OK,,,n. 开发者\n[计] 显影器,
development,發育；進化；發存款展,n.,development (n.),OK,,,n. 发展\n[化] 展开,
device,設備；設備；機器,n.,device (n.),OK,,,"n. 装置, 设计, 策略, 发明物, 设备\n[计] 设备; DOS内部命令:该命令要求DOS安装一个设备驱动程序",
devise n,設計；發明,phr.,devise n (phr.),OK,,,,
devote,致力,n.,devote (n.),OK,,,"vt. 投入于, 献身",
dial,撥打；撥,adj.,dial (adj.),OK,,,"n. 刻度盘, 钟面, 转盘\nv. 拨",
diary,日記；日誌,n.,diary (n.),OK,,,n. 日记\n[经] 日记簿,
dictate,口授；口述,v.,dictate (v.),OK,,,"vi. 听写, 口述, 口授\nvt. 口述, 使听写, 命令\nn. 命令, 指挥, 指令",
diet,飲食；食物節食,n.,diet (n.),OK,,,"n. 日常饮食, 议会\nvt. 照规定饮食\nvi. 忌食",
dietician,營養學家,n.,dietician (n.),OK,,,"n. 饮食学家, 营养学家\n[医] 饮食学家",
difference,差別；差異；差異,n.,difference (n.),OK,,,"n. 不同, 差异\n[计] 差分",
different,不同的；有差異的,adj.,different (adj.),OK,,,"a. 不同的\n[机] 差动, 微分的, 差速器",
difficult,困難的,adj.,difficult (adj.),OK,,,a. 困难的,
digital,數位的；數字,adj.,digital (adj.),OK,,,"a. 数字显示的, 数字的\nn. 数字仪表, 数字式电子表(或时钟)\n[计] 数字, 数字式",
dignity,尊嚴；自尊,n.,dignity (n.),OK,,,"n. 尊严, 高贵\n[法] 尊严, 高位, 高贵",
diligence,勤勉,n.,diligence (n.),OK,,,n. 勤奋,
diligent,勤勉的，勤奮的,adj.,diligent (adj.),OK,,,"a. 勤勉的, 用功的",
dinner,晚餐,n.,dinner (n.),OK,,,"n. 晚餐, 正餐, 宴会",
direct,指向；針對徑扣；直接的,adj.,direct (adj.),OK,,,"a. 直接的, 坦白的\nvt. 指示, 指挥, 命令, 导演\nvi. 指导, 指挥\nadv. 直接地",
direction,方向,n.,direction (n.),OK,,,"n. 方向, 指导, 趋势\n[计] 方向; 流向",
directly,直接地；筆直,adv.,directly (adv.),OK,,,"adv. 径直地, 直接地, 直率地, 正好地, 直截了当地, (非正式)立即, 马上\nconj. 一...(就...), 一当...就...\n[计] 直接的",
director,導演；導演；主管；,n.,director (n.),OK,,,"n. 主管, 导演, 董事\n[计] 寻向偶极子; 指挥仪",
directory,工商名錄；號,n.,directory (n.),OK,,,"n. 目录, 工商名录, 指南\n[计] 目录",
disadvantaged,劣勢,v.,disadvantaged (v.),OK,,,"a. 社会地位低下的, 生活条件差的, 被剥夺了基本权利的\n[法] 被剥夺了基本权力的, 生活条件差的",
disagree,不一致；不符,n.,disagree (n.),OK,,,"vi. 不一致, 不适宜\n[法] 抵触, 不同意, 争执",
disappear,消失；離開,n.,disappear (n.),OK,,,"vi. 消失, 不见",
disappointment,失望,n.,disappointment (n.),OK,,,n. 失望,
disaster,災難,n.,disaster (n.),OK,,,"n. 灾祸, 不幸, 彻底失败",
discard,拋棄；摒棄,n.,discard (n.),OK,,,"vt. 丢弃, 抛弃\nvi. 垫牌\nn. 垫牌, 抛弃",
discern,分辨；識別,n.,discern (n.),OK,,,"v. 辨别, 看清楚, 了解",
discipline,紀律；風紀,n.,discipline (n.),OK,,,"n. 训练, 纪律\nvt. 训练, 惩罚",
disclaimer,放棄；拒絕,n.,disclaimer (n.),OK,,,"n. 放弃, 拒负责任, 不承诺\n[经] 弃权或不申诉条款",
disconnected,斷開的,adj.,disconnected (adj.),OK,,,"a. 分离的, 不连贯的",
discount,折扣；折扣打折,n.,discount (n.),OK,,,"n. 折扣, 贴现率\nvt. 打折扣\nvi. 贴现",
discourage,使洩氣；；阻礙,n.,discourage (n.),OK,,,"vt. 使气馁, 阻碍",
discouraged,灰心的；沮喪的,adj.,discouraged (adj.),OK,,,a. 气馁的,
discouragement,沮,n.,discouragement (n.),OK,,,"n. 使泄气, 使气馁, 使沮丧, 使丧失信心, 使失去信心, 阻拦, 劝阻, 留难",
discover,發現；探索,n.,discover (n.),OK,,,"vt. 发现, 找到, 暴露\nvi. 发现",
discuss,商討；闡述；討論；交流,n.,discuss (n.),OK,,,"vt. 讨论, 论述\n[医] 讨论, 辩论",
discussion,討論；交流；談論,n.,discussion (n.),OK,,,n. 讨论,
disease,病，疾病使生病；使不健全直的；筆直的,adj.,disease (adj.),OK,,,"n. 疾病, 弊病\n[医] [疾]病",
disembark,登陸；上岸,n.,disembark (n.),OK,,,"v. (使)上岸, (使)登陆",
disguise,偽裝,v.,disguise (v.),OK,,,"n. 假面目, 假装\nvt. 假装, 隐瞒",
disk,唱片,n.,disk (n.),OK,,,"n. 圆盘, 磁盘\n[计] 磁盘",
dismal,憂鬱的；沉悶的,adj.,dismal (adj.),OK,,,"a. 阴沉的, 凄凉的, 令人忧郁的\nn. 低落的情绪, 沼泽",
dismiss,讓…離開；把…打發走署長,n.,dismiss (n.),OK,,,"vt. 解散, 开除, 解职\nvi. 解散\n[计] 解散",
dispense,分配，分發免除；省掉,n.,dispense (n.),OK,,,"vt. 分发, 分配\nvi. 特许, 豁免",
display,展示；陳列；陳列；展出展覽；陳列,n.,display (n.),OK,,,"n. 显示, 陈列, 炫耀, 显示器\nvt. 陈列, 显示, 表现, 夸示\n[计] 显示器; 显示",
disposal,處理；處置,adj.,disposal (adj.),OK,,,"n. 丢掉, 处理, 排列, 销毁, 布置\n[医] 处理, 处置",
dispose,配置，布置,n.,dispose (n.),OK,,,"vt. 处理, 排列, 布置\nvi. 处置",
dispute,爭論；爭執；爭議,n.,dispute (n.),OK,,,n. 争论\nv. 争论,
disrupt,使分裂；使瓦解,n.,disrupt (n.),OK,,,"a. 分裂的, 中断的\nvt. 使分裂, 使瓦解",
dissatisfaction,不滿,n.,dissatisfaction (n.),OK,,,"n. 不满, 不平",
dissipate,使消散；消,v.,dissipate (v.),OK,,,"vt. 散失, 驱散, 浪费\nvi. 消散, 放荡",
distance,距離,n.,distance (n.),OK,,,"n. 距离, 远方, 遥远\n[计] 位距",
distant,遙遠,n.,distant (n.),OK,,,"a. 远的, 疏远的\n[经] 远期的",
distinctive,有特色的；；獨特的,adj.,distinctive (adj.),OK,,,"a. 有特色的, 出众的",
distinguish,區別；識別,adj.,distinguish (adj.),OK,,,"v. 区别, 辨别",
distinguished,傑出的,adj.,distinguished (adj.),OK,,,"a. 卓著的, 著名的",
distract,轉移；分散,n.,distract (n.),OK,,,"vt. 转移, 分心, 使发狂",
distraction,娛樂,n.,distraction (n.),OK,,,"n. 娱乐, 分心的事物, 分心\n[医] 注意力分散, 内脱位, 牙弓过宽",
distribute,分配,n.,distribute (n.),OK,,,"vt. 分配, 散布, 分发\n[经] 分配, 分发",
distributor,分配者；批,n.,distributor (n.),OK,,,"n. 分发者, 分布者, 散布者, 分配者, 销售者, 分配器, 配电盘, 自动拆版机\n[计] 分配器",
disturb,打擾,n.,disturb (n.),OK,,,"vt. 扰乱, 妨碍, 使不安\n[法] 滋扰, 扰乱",
diverse,不同的；多元點；加點,adj.,diverse (adj.),OK,,,"a. 不同的, 变化多的",
diversity,差異；不同點,n.,diversity (n.),OK,,,"n. 差异, 多样性\n[化] 多样性",
divert,轉向；轉移,n.,divert (n.),OK,,,"vt. 转移, 使欢娱\nvi. 转移",
divide,分；劃分分歧；1017.,n.,divide (n.),OK,,,"vi. 分开, 分配, 分裂\nvt. 分, 分开, 分裂, 除\nn. 分配, 分水岭\n[计] 除",
division,分開；分割,n.,division (n.),OK,,,"n. 分, 分开, 除法, 部门(如部、处、系等), 师\n[计] 部分",
doctor,醫師；醫生下降的向下；日趨沒落地,adv.,doctor (adv.),OK,,,"n. 医生, 博士\nvt. 授以博士学位, 诊断, 修改\nvi. 行医",
document,公文；文件；文件,n.,document (n.),OK,,,"n. 文件, 公文, 文档\nvt. 证明, 为...引证\n[计] 文档",
documentation,文件；憑證,n.,documentation (n.),OK,,,"n. (总称)文件\n[计] 文件编制, 文档",
domestic,國內；家庭的；國內的爭論；爭執,adj.,domestic (adj.),OK,,,"a. 家庭的, 国内的, 驯养的\n[医] 家庭的, 家用的",
dominate,支配；統治,v.,dominate (v.),OK,,,"v. 支配, 占优势",
donate,捐獻；捐款破裂的；中斷的,adj.,donate (adj.),OK,,,v. 捐赠,
donation,捐獻；捐款,n.,donation (n.),OK,,,"n. 捐赠物, 捐款, 捐赠\n[经] 赠品, 捐款, 捐赠",
dot,點，小圓點打,n.,dot (n.),OK,,,"n. 点, 圆点, 小数点, 小东西, 嫁妆\nvt. 作小点记号, 加小点于\nvi. 打上点\n[计] 点",
dotted,有點子的；星羅棋布的鬧區的,adj.,dotted (adj.),OK,,,"a. 有点的, 星罗棋布的",
doubt,懷疑；揣測,n.,doubt (n.),OK,,,"n. 怀疑, 疑惑\nv. 怀疑, 不信",
download,下載,n.,download (n.),OK,,,"[计] 卸载, 下栽",
downsize,裁減,v.,downsize (v.),OK,,,vt. 以较小尺寸设计；缩小尺寸；裁减人数,
downsizing,縮減開支,v.,downsizing (v.),OK,,,[计] 小型化,
downtown,商業區，,n.,downtown (n.),OK,,,n. 市中心区\na. 市中心的\nadv. 往闹市区,
downward,向下的；,adj.,downward (adj.),OK,,,a. 向下的,
doze,瞌睡,n.,doze (n.),OK,,,"vi. 打瞌睡, 假寐\nvt. 打瞌睡度过\nn. 瞌睡",
draft,草稿；手稿,n.,draft (n.),OK,,,"n. 气流, 草稿, 汇票, 草案\nvt. 起草, 征兵\n[计] 草稿",
drain,排洩,n.,drain (n.),OK,,,"n. 排水沟, 消耗, 排水\nvt. 排出, 喝光, 耗尽\nvi. 排水, 流干",
drama,戲劇；劇本不和,n.,drama (n.),OK,,,"n. 戏剧, 戏剧艺术",
dramatically,顯著地,adv.,dramatically (adv.),OK,,,"adv. 戏剧地, 引人注目地, 突然地",
drastic,激烈的；猛烈的,adj.,drastic (adj.),OK,,,"a. 激烈的\n[医] 峻泻药, 剧烈的",
drastically,大大地；徹底地,adv.,drastically (adv.),OK,,,"adv. 激烈地, 彻底地",
draw,繪畫；繪製；描寫；拉平局；抽籤E,v.,draw (v.),Possible error,繪畫；繪製；描寫；拉平局；抽籤,English letters present in Chinese meaning,"vi. 拉, 拖, 拔剑\nvt. 拖拉, 挨近, 领取, 打成平局, 引导, 抽签决定, 画, 描写, 制订, 草拟, 吸引\nn. 拉, 拖, 拔出, 抽签, 平局\n[计] 翻牌, 绘图",
drawer,抽屜,n.,drawer (n.),OK,,,"n. 抽屉, 开票人\n[计] 抽屉",
dreadful,可怕,adj.,dreadful (adj.),OK,,,a. 可怕的,
dress,洋裝；穿著,n.,dress (n.),OK,,,"n. 服装, 覆盖物\nvi. 穿着\nvt. 给...穿衣, 整理",
dress code,穿衣法則；,phr.,dress code (phr.),OK,,,n. 着装标准,
drift,漂流；漂；漂移,n.,drift (n.),OK,,,"n. 漂流物, 漂流, 动向\nv. (使)漂流",
drink,飲用,v.,drink (v.),OK,,,"n. 饮料, 酒\nv. 喝, 喝酒",
drive,駕駛；駕駛；開車,v.,drive (v.),OK,,,"n. 驾车, 快车道, 推进力, 驱动, 动力, 击球, 驱动器\nvt. 开车, 驱使, 推动, 驾驶\nvi. 开车, 猛击, 飞跑\n[计] 驱动器",
drug,藥物；藥,n.,drug (n.),OK,,,"n. 药, 麻药, 麻醉药\nvi. 吸毒\nvt. 使服麻醉药, 使麻木",
due,應支付的；到期的應付款；稅金；預定,adj.,due (adj.),OK,,,"n. 应得的东西, 应付款\na. 到期的, 应得的, 应付的, 约定的",
duplicate,複製品；副適；悠閒；贗品,v.,duplicate (v.),OK,,,"n. 副本, 复本, 复制品\na. 复制的, 二重的\nvt. 复制, 使加倍\n[计] 复制",
durable,經久的，耐用,adj.,durable (adj.),OK,,,"a. 持久的, 耐用的",
duration,持久；持續,n.,duration (n.),OK,,,"n. 持续时间, 持续\n[计] 持续时间",
during,在…的整個；在～期間,v.,during (v.),OK,,,prep. 在...的时候,
duty,義務；責任；職務；勤務,n.,duty (n.),OK,,,"n. 责任, 关税, 职务, 尊敬\n[化] 职责",
dynamic,動力的；充；動態,adj.,dynamic (adj.),OK,,,"a. 动态的, 有活力的, 有力的, 动力的, 不断变化的\nn. 动力, 动态\n[计] 动态的",
e,使受挫折；阻撓困惑；障礙,n.,e (n.),OK,,,"[计] 元件, 部件, 元素, 误差, 执行, 表达式, 指数",
eTicket,電子票券,n.,eTicket (n.),OK,,,,
each,各個；每個各；每,n.,each (n.),OK,,,"a. 每个, 每一\nadv. 每个\npron. 每个, 个人, 各自",
eager,急切；熱心的；熱切的,adj.,eager (adj.),OK,,,"a. 热心的, 渴望的, 热望的",
early,初期的；及早,adj.,early (adj.),OK,,,"a. 早的, 早熟的\nadv. 很早, 初",
earn,掙得；博得著裝標準；掙錢,n.,earn (n.),OK,,,"vt. 赚得, 获得, 博得\n[计] 欧州科学研究网",
earnest,認真,n.,earnest (n.),OK,,,"n. 定金, 诚挚, 认真\na. 认真的, 热心的, 重要的",
earnings,收入；薪資,n.,earnings (n.),OK,,,"n. 所赚的钱, 工资, 收入\n[经] 工资, 收入, 收益, 盈余",
ease,減輕，緩和舒；緩解,n.,ease (n.),OK,,,"n. 安乐, 安逸, 悠闲\nvt. 使安乐, 使安心, 减轻, 放松\nvi. 减轻, 放松, 灵活地移动",
east,東方；東,n.,east (n.),OK,,,"n. 东方, 东\na. 东方的, 向东的\nadv. 向东方, 朝东方",
easy,容易的；簡單的；輕易的,adj.,easy (adj.),OK,,,"a. 容易的, 缓缓的, 舒适的, 从容的, 宽容的, 流畅的, 随便的, 自在的, 疲软的\nadv. 容易地, 慢慢地",
eat,進食,v.,eat (v.),OK,,,"v. 吃, 腐蚀",
eco-friendly,對環境友善的,phr.,eco-friendly (phr.),OK,,,"a. 对生态环境友好的, 不妨害生态环境的",
economical,經濟的；本完全一樣的；複製的,adj.,economical (adj.),OK,,,"a. 节俭的, 经济的, 合算的\n[经] 经济的, 节约的",
economize,節約；節的,adj.,economize (adj.),OK,,,"v. 节约, 节省, 有效地利用",
economy,節約；經濟廉價的；經濟的期間,adj.,economy (adj.),OK,,,"n. 经济, 理财, 节约\n[医] 经济, 整体",
ect,使偏斜；使轉向；反射；照出,n.,ect (n.),OK,,,abbr. 电休克疗法；电惊厥疗法（electroconvulsive therapy）,
ection,倒影；反省,n.,ection (n.),OK,,,天顶投影,
ed,未辨別出,v.,ed (v.),OK,,,"[计] 电子设备, 密码设备, 数据结束, 工程设计, 错误检测, 外部设备",
edge,稜；邊緣使漸進；徐徐地移動期間滿活力的；邊緣,adj.,edge (adj.),OK,,,"n. 边缘, 尖锐, 刀刃, 优势\nvt. 使锐利, 挤进, 镶边\nvi. 缓缓移动",
edible,食用,adj.,edible (adj.),OK,,,"n. 食品, 食物\na. 可食用的",
edit,編輯；校訂,n.,edit (n.),OK,,,"vt. 编辑, 编校, 修订, 剪辑\n[计] 编辑; DOS外部命令:该命令是一个用于编辑文本文件的全屏幕编辑程序",
edition,版本,n.,edition (n.),OK,,,"n. 版本, 版, 翻版",
editor,編輯,n.,editor (n.),OK,,,"n. 编者, 编辑, 主笔, 编辑器, 编辑装置\n[计] 编辑器",
editorial,社論編輯,adj.,editorial (adj.),OK,,,"n. 社论, 评论\na. 编辑的, 主笔的, 社论的",
education,教育,n.,education (n.),OK,,,"n. 教育, 训练, 教育学\n[医] 教育, 训练",
effect,效果；造成；產生效,n.,effect (n.),OK,,,"n. 结果, 影响, 效果, 印象\nvt. 实行, 引起, 完成\n[计] 效果",
effective,有效的；有效的；生,adj.,effective (adj.),OK,,,"a. 有效的, 有力的, 实际的\nn. 有生力量",
effectively,有效地,adv.,effectively (adv.),OK,,,"adv. 有效地, 有力地, 实际上",
efficiently,有效率地,adv.,efficiently (adv.),OK,,,"adv. 生效, 能胜任, 有能力, 效率高, 有效",
effort,功夫；努力；盡力,n.,effort (n.),OK,,,"n. 努力, 成就",
either,任一的（兩者之中）任何一個,n.,either (n.),OK,,,"a. (两者之中)任一的, (两者之中)各一的\npron. (两者之中)任一\nconj. 或, 要么",
either ... or ...,或者,phr.,either ... or ... (phr.),OK,,,,
eject,逐出；轟出,n.,eject (n.),OK,,,"vt. 逐放, 放逐, 喷射\n[化] 排出",
elaborate,精心製作；詳盡闡述,v.,elaborate (v.),OK,,,"a. 精细的, 详尽的, 精心计划(或制作)的\nvt. 详细地说明, 用心地制作, 发挥\nvi. 变复杂, 作详细说明",
eld,原野；田地,adv.,eld (adv.),OK,,,"n. <古>高龄, 古代,古人",
elder,年長的,adj.,elder (adj.),OK,,,"n. 年长者, 老人, 前辈\na. 年长的, 资深的",
elect,選舉；推選,n.,elect (n.),OK,,,"n. 当选人, 被选的人\na. 被选的, 选出的\nvt. 选举, 选择\nvi. 作选择",
election,選舉；推選,n.,election (n.),OK,,,"n. 选举, 当选, 选择权\n[法] 选举, 当选",
electric,電的；導電的,adj.,electric (adj.),OK,,,"a. 电的, 导电的, 电动的\n[医] 电的",
electrical,電力的,adj.,electrical (adj.),OK,,,"a. 电的, 有关电的\n[医] 电的",
electrician,零工；電工；電氣,n.,electrician (n.),OK,,,"n. 电学家, 电气技师, 电工\n[化] 电工; 电气工人",
electricity,電力,n.,electricity (n.),OK,,,"n. 电, 电流, 电学, 热情, 电力供应\n[化] 电学; 电",
electronic,電子的；電子操縱的,adj.,electronic (adj.),OK,,,a. 电子的\n[计] 电子工业协会接口,
elegance,優雅,n.,elegance (n.),OK,,,"n. 高雅, 典雅, 优雅",
elegant,優雅的,adj.,elegant (adj.),OK,,,"a. 优雅的, 端庄的, 高雅的",
element,元素；元素；構成往別處況；突然事件,n.,element (n.),OK,,,"n. 元件, 元素, 要素\n[计] 部分; 成分; 单元; 码元; 元件; 元素; 单元",
elemental,基本的；原,adj.,elemental (adj.),OK,,,"a. 元素的, 基本的",
elementary,初級；基本的；初級的的；法律上合格的,adj.,elementary (adj.),OK,,,"a. 初步的, 基本的\n[医] 元素的, 基础的, 初级的",
elevate,舉起；抬起,v.,elevate (v.),OK,,,"vt. 举起, 提拔, 鼓舞",
elevation,提高；提升,n.,elevation (n.),OK,,,"n. 海拔, 提高, 仰角\n[计] 仰角",
elevator,電梯,n.,elevator (n.),OK,,,"n. 电梯, 升降机\n[化] 提升机",
eligible,有資格當選果；效力,adj.,eligible (adj.),OK,,,"a. 有资格当选的, 合格的\nn. 有资格者, 合格者, 适任者",
eliminate,排除；消滅,v.,eliminate (v.),OK,,,"vt. 除去, 排除, 剔除, 消除",
elimination,排除；消滅,n.,elimination (n.),OK,,,"n. 除去, 消除, 消灭\n[化] 消去; 脱去",
elite,精華；菁英,n.,elite (n.),OK,,,"n. 精华, 精锐, 中坚分子",
else,其他；另外,n.,else (n.),OK,,,"a. 别的, 其他的\nadv. 另外, 否则, 不然",
elsewhere,在別處；,n.,elsewhere (n.),OK,,,adv. 在别处,
email,電子郵件,n.,email (n.),OK,,,n. 电子信函,
embark,從事；著手,n.,embark (n.),OK,,,"vi. 乘船, 着手, 从事, 上飞机\nvt. 使上船, 使上飞机, 使从事",
embrace,擁抱；包括,n.,embrace (n.),OK,,,"n. 拥抱\nvt. 拥抱, 互相拥抱, 包含, 收买\nvi. 拥抱",
emerge,出現；浮現；出現,n.,emerge (n.),OK,,,"vi. 浮现, 形成, 出现, (事实)显露",
emergency,緊急；緊急情技師,n.,emergency (n.),OK,,,"n. 紧急状况, 紧急事件, 紧急需要\n[化] 紧急情况",
emerging,新興的,adj.,emerging (adj.),OK,,,"[法] 出现的, 发生的, 形成的",
emit,散發；放射,n.,emit (n.),OK,,,"vt. 发出, 放射, 发表(意见等), 散发, 发行\n[化] 放射",
emotion,情感；情緒,n.,emotion (n.),OK,,,"n. 情绪, 激动, 强烈的情感\n[医] 情绪, 情感",
emotional,情緒化的,adj.,emotional (adj.),OK,,,"a. 情绪的, 情感的\n[医] 情绪的",
empathy,同感,n.,empathy (n.),OK,,,"n. 移情作用, 共鸣\n[医] 移情, 神入",
emphasis,強調；重視,n.,emphasis (n.),OK,,,"n. 强调, 加强, 重点, 强语气",
emphasize,強調；著重；強調；重,v.,emphasize (v.),OK,,,"vt. 强调, 加强语气, 着重",
employ,僱用；使用；雇用,n.,employ (n.),OK,,,"n. 雇用\nvt. 雇用, 使用, 使从事于",
employee,受雇者；員工,n.,employee (n.),OK,,,"n. 职员, 员工, 受雇人员\n[化] 职工; 雇员",
employer,雇主,n.,employer (n.),OK,,,"n. 雇主, 老板\n[经] 雇主, 业主",
employment,僱用；,n.,employment (n.),OK,,,"n. 雇用, 职业, 工作\n[经] 职业, 雇用, 职工招请",
empty,空的,adj.,empty (adj.),OK,,,"a. 空的, 空虚的, 空腹的, 空洞的\nn. 空的东西, 空车\nvt. 倒空, 使变空, 使排出\nvi. 流空\n[计] 空",
emulate,同…競爭；盡,v.,emulate (v.),OK,,,"vt. 效法, 尽力赶上, 同...竞争\n[计] 仿真",
enable,使能夠；賦予…能力；啟用,adj.,enable (adj.),OK,,,"vt. 使能够\n[计] 允许, 使能, 打开",
enclose,圍住；圈起；隨信附上,n.,enclose (n.),OK,,,"vt. 围绕, 圈起, 放入封套, 附上",
enclosure,圍住；封入,n.,enclosure (n.),OK,,,"n. 附件, 围墙, 围绕\n[化] 机壳; 外壳",
encounter,遭遇；遭遇；衝突遭遇；遇到,n.,encounter (n.),OK,,,"n. 相会, 相遇, 遭遇\nvt. 遇见, 邂逅, 会战\nvi. 偶然相遇",
encourage,鼓勵；鼓勵；鼓婚約擴展,n.,encourage (n.),OK,,,"vt. 鼓励, 支持, 激励\n[法] 怂恿, 煽动, 助长",
encouragement,鼓,n.,encouragement (n.),OK,,,"n. 鼓励, 激励, 奖励\n[法] 怂恿, 煽动, 助长",
endanger,危及；使遭,n.,endanger (n.),OK,,,"vt. 危及\n[法] 使危险, 危及",
endeavor,努力；力圖贊同,n.,endeavor (n.),OK,,,"n. 努力, 尽力\nvi. 努力, 尽力",
endorsement,背書；,n.,endorsement (n.),OK,,,"n. 支持, 认可, 背书\n[经] 背书, 担保, 保证",
endure,忍耐；忍受表演者,n.,endure (n.),OK,,,"vt. 忍受, 忍耐, 容忍, 耐\nvi. (正式)持久, 持续\n[计] 仍能工作, 继续工作",
energetic,有活力的；精力旺盛的；-精神飽滿的,adj.,energetic (adj.),OK,,,"a. 精力充沛的, 积极的",
energy,力量；能源；活力；幹勁,n.,energy (n.),OK,,,"n. 精力, 精神, 活力, 能量\n[化] 能; 能量",
enforce,實施；執行,n.,enforce (n.),OK,,,"vt. 强迫, 执行, 坚持\n[经] 予以强制执行",
enforcement,強制,n.,enforcement (n.),OK,,,"n. 执行, 强制\n[法] 实施, 加强, 厉行",
engage,吸引；佔用,n.,engage (n.),OK,,,"vi. 答应, 从事, 交战\nvt. 使忙碌, 雇佣, 预定, 使从事于, 使参加",
engaged,訂婚,v.,engaged (v.),OK,,,"a. 忙碌的, 使用中的",
engagement,訂婚；,n.,engagement (n.),OK,,,"n. 诺言, 约会, 婚约, 交战\n[医] 衔接",
engine,引擎,n.,engine (n.),OK,,,"n. 引擎, 发动机, 机车\nvt. 安装发动机于",
engineer,工程師,n.,engineer (n.),OK,,,"n. 工程师, 工兵\nvt. 设计, 监造, 精明地处理, 策划",
enhance,提高；升高,n.,enhance (n.),OK,,,"vt. 提高, 加强, 增加",
enjoy,喜歡；享受,n.,enjoy (n.),OK,,,"vt. 享受, 喜欢, 欣赏\n[法] 享受, 享有, 获得某种利益",
enjoyable,和藹可親的,adj.,enjoyable (adj.),OK,,,"a. 可从中得到乐趣的, 令人愉快的",
enlarge,擴大；擴展,n.,enlarge (n.),OK,,,"vt. 扩大, 增大\nvi. 扩大, 详述",
enlargement,擴大；,n.,enlargement (n.),OK,,,"n. 扩大, 肿大, 肥大, 增大, 放大的照片, 放大, 扩建部分, 增补物, 扩展\n[计] 增补, 扩大, 放大",
enlist,從軍；入伍,n.,enlist (n.),OK,,,"vt. 征募, 参与, 谋取\nvi. 从军, 应募, 赞助",
enormous,巨大,adj.,enormous (adj.),OK,,,"a. 巨大的, 庞大的",
enrich,使富裕；使豐富舞,n.,enrich (n.),OK,,,"vt. 使富足, 使肥沃",
enrichment,致富；豐富勵；鼓舞,n.,enrichment (n.),OK,,,"n. 丰富, 肥沃\n[化] 富集",
enroll,招生；註冊；記入名冊；被登記到危險,n.,enroll (n.),OK,,,"vt. 登记, 使加入\nvi. 参军, 注册",
ensure,保證；擔保努力；盡力；確保,n.,ensure (n.),OK,,,"vt. 确定, 保证, 担保, 保护\n[经] 确保, 确定",
enterprise,企業；公司,v.,enterprise (v.),OK,,,"n. 企业, 事业心, 进取心, 干事业\n[计] 企业",
entertain,娛樂；款待；招待,n.,entertain (n.),OK,,,"vt. 娱乐, 招待, 怀抱\nvi. 款待",
entertainer,藝人；請客者；,n.,entertainer (n.),OK,,,"n. 表演娱乐节目的人, 演艺人员",
entertainment,娛樂；演藝；,n.,entertainment (n.),OK,,,"n. 娱乐, 款待, 娱乐表演",
enthusiasm,熱忱,n.,enthusiasm (n.),OK,,,"n. 巨大的热情, 热心",
enthusiastic,熱忱的；,adj.,enthusiastic (adj.),OK,,,"a. 狂热的, 热心的, 热烈的",
entire,全部的,adj.,entire (adj.),OK,,,"n. 整个, 全部\na. 全体的, 完全的, 全部的",
entirel,全部地；整個,adv.,entirel (adv.),OK,,,,
entitle,權利；給…權力（或資,n.,entitle (n.),OK,,,"vt. 给...权利, 取名为, 给予名称, 叫做\n[法] 给...权利, 使有资格, 称呼",
entitled,給予權利；使,v.,entitled (v.),OK,,,a. 有资格的；给与名称的,
entrance,入口；入口；門口,n.,entrance (n.),OK,,,"n. 入口, 进入点, 入场, 入学, 进入, 开始(阶段), 就任\nvt. 使出神, 使入迷\n[计] 入口",
entrust,信託；委託,n.,entrust (n.),OK,,,"vt. 信托, 交托, 委托\n[经] 委托",
entry,入場；參加,n.,entry (n.),OK,,,"n. 登录, 条目, 进入, 入口, 报关\n[计] 登录项, 输入项, 条目",
environment,環境,n.,environment (n.),OK,,,"n. 环境, 外界, 围绕\n[计] 环境",
environmental,環境的,adj.,environmental (adj.),OK,,,"a. 周围的, 环境的\n[经] 环境的, 环保的",
envision,想像；展望,n.,envision (n.),OK,,,"vt. 想象, 预想",
equal,平等的；均等的,adj.,equal (adj.),OK,,,"n. 对手, 匹敌, 同辈\na. 相等的, 平等的, 胜任的, 合适的, 平静的, 不相上下的\nvt. 等于, 比得上\n[计] 等长度编码",
equality,平等；相等,n.,equality (n.),OK,,,"n. 平等, 均匀, 相等\n[法] 同等, 平等, 相等",
equip,裝備；裝備；配備,n.,equip (n.),OK,,,"vt. 装备, 配备\n[机] 设备, 装置",
equipment,裝備；配；設備,n.,equipment (n.),OK,,,"n. 装备, 设备, 才能\n[化] 设备; 装备; 装置",
equity,公平；公正,n.,equity (n.),OK,,,"n. 公平, 公正\n[经] 权益, 产权",
equivalent,相等的；,adj.,equivalent (adj.),OK,,,"n. 同等物, 等价物, 相等物\na. 相等的, 相当的, 同意义的\n[计] 等价的",
erce,兇猛的；殘酷的；好鬥的ﬁ,adj.,erce (adj.),OK,,,,
error,錯誤；錯誤；失誤,n.,error (n.),OK,,,"n. 错误, 过失, 失误, 误差\n[计] 错误",
escort,護送；陪同,n.,escort (n.),OK,,,"n. 护送者, 护卫者, 护航舰\nvt. 护卫, 护送",
